song_id,title,artist_id,artist_name
SOVLGJY12A8C13FBED,Deep Sea Creature,ARMQHX71187B9890D3,Mastodon
SOGDQZK12A8C13F37C,No Quieras Marcharte,AR2PT4M1187FB55B1A,Los Chichos
SODMVJR12A6D4F985D,If I...,ARDI88R1187B98DAB2,Foxy Brown
SOIWBDR12A8C13A4AC,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,ARUKJUP12086C14589,Ramón Vargas;Vladimir Jurowski
SOHCCIA12AC907577F,Ad Te Clamamus Exsvles Mortva Liberi,ARZEWUR1187FB53DC8,Enthroned
SOBOAQC12A8C13E3E9,Murder One,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony
SOKVLHX12AB0187B39,On My Feet Again,ARHBWOZ1187FB3FD53,Utopia
SOMMSMW12A8C13FCCC,Bedroom Acoustics,ARR3ONV1187B9A2F59,Muse
SODPNJR12A6D4FA52D,Segredo,AR3THYK1187B999F1F,João Gilberto
SOFFLLP12AB018ED52,Sajana (Ft Faheem Mazhar),ARFELOH1187B991F95,Niraj Chag
SOZSPTD12A8C143BFD,Theresa,ARO0EUG1187B9AC250,Portable
SOHWWOM12AB0186627,Story Of An Artist (Don't Be Scared),AR6CLFP1187B9ACB94,Daniel Johnston
SOZVLXO12AF72ABCDB,D Shuffle Jam (Part 2),AR6WICD1187B998708,Christian McBride
SOVBVJW12AAF3B5F77,Ju Ju,ARMFOCL119B8668919,String Trio Of New York
SOINHKC12AB01836E0,When I Was A Cowboy (Western Plains) (LP Version),AR3GYKU1187B996AB9,Jim Kweskin
SODKUVJ12AB0187A4A,I Destructor (Lenny Dee Mix),ARDOOH01187B991055,Ultraviolence
SOMJNMD12AB0187F93,No Survivors,ARVUAJC1187B9908A5,Speedball
SOZNBMX12AB0182AD1,Her Golden Robe In Silence Veiled,ARM63WJ1187B9951EA,Autumnblaze
SOIRIWN12AB0183AE7,Same Old Song,ARBQPXY1187B98D67B,Kris Kristofferson
SOESNFW12A6D4F995F,The Ride (Album),ARPVFV91187B98BB94,Cinder
SOGNFKZ12A8C145224,Two Little Fishes_ Five Loaves Of Bread,AR6TD9K1187B9A207D,Sister Rosetta Tharpe
SOSJVGP12AB0185B95,Church Hangover,ARYF20K1187B9B76BD,George Lopez
SOHHGUG12A6D4F4E77,I Got Stripes (Live),ARH861H1187B9B799E,Johnny Cash
SOBIPBF12AB0184B0C,The Greed Of Our Stare,ARHWRBR119B8669309,Hatesex
SONUTGA12AB0187F44,The Contracting Perception Of Consciousness,ARE17W51187FB5381B,Rui Da Silva
SOIGIUZ12A8C1337B1,Post-Toxic Finger Disorder,AR8U8G41187B9A833B,Tim Exile
SORRQLD12A8C139E8D,Qui Donc A Changé ?,ARQVTCN11E2835DFFD,Marcel Mouloudji
SOHHKOU12A81C224B2,Lotus Kiss,AR8W2DS1187B9B6E36,Alex Theory
SOWUAYB12A6D4FA1D4,So Many Books ... (The Word Album Version),ARHO1WI1187B98CB84,Michael Card
SOYTQGO12A8C138C1B,Drummer's Circle,ARYUHNV1187FB482AF,Megadrums
