,song_id,mbtag,song
0,SOVLGJY12A8C13FBED,alternative metal american groove metal heavy metal metal progressive metal rock and indie sludge metal ,Deep Sea Creature-Mastodon
1,SOEFTHD12A8C13EC47,alternative metal american groove metal heavy metal metal progressive metal rock and indie sludge metal ,Megalodon-Mastodon
2,SOHHANU12A58A77C66,alternative metal american groove metal heavy metal metal progressive metal rock and indie sludge metal ,The Czar: Usurper/Escape/Martyr/Spiral (Album Version)-Mastodon
3,SODYZIU12A8C13FBD9,alternative metal american groove metal heavy metal metal progressive metal rock and indie sludge metal ,Shadows That Move-Mastodon
4,SODPNJR12A6D4FA52D,brazilian brazilian classics player south american ,Segredo-João Gilberto
5,SOHUKWF12A6D4FA598,brazilian brazilian classics player south american ,Cordeiro De Nana-João Gilberto / Gilberto Gil / Caetano Veloso
6,SOOVQIU12A6D4FB6C9,brazilian brazilian classics player south american ,Meditacao-João Gilberto
7,SOHBPQS12A58A7A631,brazilian brazilian classics player south american ,Eu E Meu Coracao-João Gilberto
8,SOVAGPG12AB0189963,brazilian brazilian classics player south american ,Samba De Una Nota So´-Joa~o Gilberto
9,SOKGCRN12AC468D603,brazilian brazilian classics player south american ,Manhã de Carnaval (Morning of the Carnaval) (Cantando As Músicas do Film Orfeo do Carnaval)-João Gilberto
10,SOFFLLP12AB018ED52,desi ,Sajana (Ft Faheem Mazhar)-Niraj Chag
11,SOQTQWP12AB0185390,desi ,Eeshwar-Niraj Chag
12,SOASIDX12AB0185463,desi ,The Carnival  feat. Japjit Kaur-Niraj Chag
13,SOZSPTD12A8C143BFD,south african ,Theresa-Portable
14,SOBEJLH12A8C13B743,south african ,Don't Give Up-Portable
15,SOHWWOM12AB0186627,dance and electronica ,Story Of An Artist (Don't Be Scared)-Daniel Johnston
16,SOJBLIX12A8C1373C7,dance and electronica ,Desperate Man Blues-Daniel Johnston
17,SOFIBPT12A6D4F65E1,dance and electronica ,Rock Around The Christmas Tree-Daniel Johnston
18,SOIPALY12A8C134921,dance and electronica ,Come To Me Tonight-Daniel Johnston
19,SOQBYJC12A8C1358D9,dance and electronica ,To Go Home-Daniel Johnston
20,SOFJQSW12A58A7DD3B,dance and electronica ,Oh No-Daniel Johnston
21,SOLXJIL12AB01889FA,dance and electronica ,High Horse-Daniel Johnston
22,SOIASWH12AB017F44C,dance and electronica ,Walking The Cow (Hi How Are You)-Daniel Johnston
23,SOBXTMM12AB018E916,dance and electronica ,The Story Of An Artist-Daniel Johnston
24,SOMJNMD12AB0187F93,punk uk ,No Survivors-Speedball
25,SOIRIWN12AB0183AE7,folk ,Same Old Song-Kris Kristofferson
26,SORLIQE12AF72A3375,folk ,Road Warrior's Lament-Kris Kristofferson
27,SOBEQOL12A8C140489,folk ,Darby's Castle-Kris Kristofferson
28,SOHIEPQ12A58A770F6,folk ,Killer Barracuda-Kris Kristofferson
29,SONLHUA12A8C14470A,folk ,Snakebit-Kris Kristofferson
30,SOHHGUG12A6D4F4E77,american blues country favorite folk gospel rock rock and roll ,I Got Stripes (Live)-Johnny Cash
31,SOENOQK12AB01864B9,american blues country favorite folk gospel rock rock and roll ,One More Ride (Digitally Remastered)-Johnny Cash
32,SOFELMB12A8AE48525,american blues country favorite folk gospel rock rock and roll ,A Boy Named Sue-Johnny Cash
33,SOINVOE12AB0183171,american blues country favorite folk gospel rock rock and roll ,Hank & Joe and Me-Johnny Cash
34,SODREXM12AB017C1E8,american blues country favorite folk gospel rock rock and roll ,You Tell Me-Johnny Cash
35,SOIQENV12A8C133A29,american blues country favorite folk gospel rock rock and roll ,Lonesome To The Bone-Johnny Cash
36,SONUTGA12AB0187F44,european lisbon portuguese ,The Contracting Perception Of Consciousness-Rui Da Silva
37,SOJMTNS12AB017DA66,european lisbon portuguese ,Chinz Ninja (Rui Da Silva mix)-Smart Alex
